source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD040939_211008_GD_WeSh_B_12	Zea mays	leaf	not available	1	PXD040939_211008_GD_WeSh_B_12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_18	Zea mays	leaf	not available	2	PXD040939_211008_GD_WeSh_B_18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_16	Zea mays	leaf	not available	3	PXD040939_211008_GD_WeSh_B_16_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_16.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_09	Zea mays	leaf	not available	4	PXD040939_211008_GD_WeSh_B_09_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_09.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_07	Zea mays	leaf	not available	5	PXD040939_211008_GD_WeSh_B_07_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_07.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_02	Zea mays	leaf	not available	6	PXD040939_211008_GD_WeSh_B_02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_17	Zea mays	leaf	not available	7	PXD040939_211008_GD_WeSh_B_17_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_17.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_11	Zea mays	leaf	not available	8	PXD040939_211008_GD_WeSh_B_11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_08	Zea mays	leaf	not available	9	PXD040939_211008_GD_WeSh_B_08_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_08.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD040939_211008_GD_WeSh_B_01	Zea mays	leaf	not available	10	PXD040939_211008_GD_WeSh_B_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Protein N-terminal acetylation;AC=UNIMOD:1;TA=Protein N-terminus;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	211008_GD_WeSh_B_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
