source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F21	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F21_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	21	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F21.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F23	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F23_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	23	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F23.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F26	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F26_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	26	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F26.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F29	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	29	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F18	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	18	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F30	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F30_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	30	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F30.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F28	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F28_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	28	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F28.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F35	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F35_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	35	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F35.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F20	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	20	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F24	Homo sapiens	plasma	not available	1	PXD041831_NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	24	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=DSSO/+158.004 Da (K cross-link modification);AC=null;TA=K;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	NT=['DSSO', 'DMTMM'];AC=['XLMOD:02126', None];TA=['K,S,T,Y', None]	strong-cation exchange chromatography (SCX) peptide fractionation	1 mM	not available	overnight	4 °C	NonDepleted_PlasmaCOVID_DSSO_SCX_HPLC_F24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
