source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD036113_ELITE_XZ_WT_3_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	1	PXD036113_ELITE_XZ_WT_3_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_WT_3_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_WT_1_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	2	PXD036113_ELITE_XZ_WT_1_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_WT_1_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_3_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	3	PXD036113_ELITE_XZ_A-PsbO_3_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_3_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-ZWF_BP_2_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	4	PXD036113_ELITE_XZ_A-ZWF_BP_2_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-ZWF_BP_2_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_BP_1_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	5	PXD036113_ELITE_XZ_A-PsbO_BP_1_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_BP_1_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_2_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	6	PXD036113_ELITE_XZ_A-PsbO_2_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_2_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-ZWF_BP_1_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	7	PXD036113_ELITE_XZ_A-ZWF_BP_1_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-ZWF_BP_1_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-ZWF_BP_3_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	8	PXD036113_ELITE_XZ_A-ZWF_BP_3_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-ZWF_BP_3_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_BP_2_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	9	PXD036113_ELITE_XZ_A-PsbO_BP_2_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_BP_2_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_WT_2_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	10	PXD036113_ELITE_XZ_WT_2_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_WT_2_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_BP_3_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	11	PXD036113_ELITE_XZ_A-PsbO_BP_3_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_BP_3_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD036113_ELITE_XZ_A-PsbO_1_20210226	Synechocystis sp. PCC 6803	thylakoid lumen	not available	12	PXD036113_ELITE_XZ_A-PsbO_1_20210226_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=N-terminal acetylation;AC=null;TA=Protein N-terminus;MT=Variable	not available	not available	not available	streptavidin-agarose affinity purification (enrichment of biotinylated proteins)	not available	not available	1 min	30 °C	ELITE_XZ_A-PsbO_1_20210226.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
