source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD031159_20210919_MBPZ_24B3_AFI_2N4A8Q7T	Homo sapiens	not available	whole cell lysate	not available	1	PXD031159_20210919_MBPZ_24B3_AFI_2N4A8Q7T_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210919_MBPZ_24B3_AFI_2N4A8Q7T.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20201202_SUMO2_49B3_3SIM_MBP_rep3	Homo sapiens	not available	whole cell lysate	not available	2	PXD031159_20201202_SUMO2_49B3_3SIM_MBP_rep3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20201202_SUMO2_49B3_3SIM_MBP_rep3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20210923_SUMO2_50TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3	Homo sapiens	not available	whole cell lysate	not available	3	PXD031159_20210923_SUMO2_50TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210923_SUMO2_50TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_BING_TRX2KR_DISULFIDE_LYSC_GLUC_REP1_20191101	NT=Homo sapiens;AC=NCBITaxon:9606	NT=Escherichia coli;AC=NCBITaxon:562	whole cell lysate	not available	4	PXD031159_BING_TRX2KR_DISULFIDE_LYSC_GLUC_REP1_20191101_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	BING_TRX2KR_DISULFIDE_LYSC_GLUC_REP1_20191101.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20210923_SUMO2_49TAG_CONTROL_TWICE_IP_REP3	Homo sapiens	not available	whole cell lysate	not available	5	PXD031159_20210923_SUMO2_49TAG_CONTROL_TWICE_IP_REP3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210923_SUMO2_49TAG_CONTROL_TWICE_IP_REP3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20210923_SUMO2_50TAG_CONTROL_TWICE_IP_REP3	Homo sapiens	not available	whole cell lysate	not available	6	PXD031159_20210923_SUMO2_50TAG_CONTROL_TWICE_IP_REP3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210923_SUMO2_50TAG_CONTROL_TWICE_IP_REP3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3	Homo sapiens	not available	whole cell lysate	not available	7	PXD031159_20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20201202_SUMO2_50B3_3SIM_MBP_rep2	Homo sapiens	not available	whole cell lysate	not available	8	PXD031159_20201202_SUMO2_50B3_3SIM_MBP_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20201202_SUMO2_50B3_3SIM_MBP_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20200112_MBPZ_E24B3_E25Q_AFFI_4A7Y8Q	Homo sapiens	not available	whole cell lysate	not available	9	PXD031159_20200112_MBPZ_E24B3_E25Q_AFFI_4A7Y8Q_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20200112_MBPZ_E24B3_E25Q_AFFI_4A7Y8Q.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD031159_20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP1	Homo sapiens	not available	whole cell lysate	not available	10	PXD031159_20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=[{'NT': 'BprY', 'AC': None, 'CL': None, 'TA': 'C'}]	two-step His-tag purification using Ni-NTA affinity resin followed by Ni-NTA agarose on-bead enrichment of cross-linked peptides	1 mM	not available	8 h	37 °C	20210923_SUMO2_49TAG_INCUBATE_CELL_LYSATE_TWICEHISIP_TRYPSIN_REP1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
