source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD026433_20210409_ALS_XL_F46	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F46_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	46	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F46.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F28	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F28_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	28	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F28.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F67	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F67_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	67	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F67.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F58	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F58_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	58	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F58.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F10	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	10	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F43	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F43_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	43	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F43.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F11	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	11	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F29	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F29_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	29	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F29.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F20	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	20	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD026433_20210409_ALS_XL_F57	Chlamydomonas reinhardtii	whole cell lysate	not available	1	PXD026433_20210409_ALS_XL_F57_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	57	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=disuccinimidyl sulfoxide (DSSO);AC=XLMOD:02126;CL=yes;TA=K,S,T,Y	strong cation exchange chromatography (SCX)	2 mM	not available	30 min	room temperature	20210409_ALS_XL_F57.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
