source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD016196_B181202_12_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep2	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_12_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_12_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_06_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep1	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_06_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	6	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_06_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_08_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep2	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_08_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	8	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_08_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_10_Lumos_FO_CO_120_SMC56_BS3_SEC9_rep2	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_10_Lumos_FO_CO_120_SMC56_BS3_SEC9_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	9	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_10_Lumos_FO_CO_120_SMC56_BS3_SEC9_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_13_Lumos_FO_CO_120_SMC56_BS3_SEC10_rep2	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_13_Lumos_FO_CO_120_SMC56_BS3_SEC10_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	10	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_13_Lumos_FO_CO_120_SMC56_BS3_SEC10_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_05_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep1	Saccharomyces cerevisiae	not available	not available	1	PXD016196_B181202_05_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	7	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_05_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_04_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep1	Saccharomyces cerevisiae	not available	not available	2	PXD016196_B181202_04_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	8	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_04_Lumos_FO_CO_120_SMC56_BS3_SEC8_rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_07_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep1	Saccharomyces cerevisiae	not available	not available	2	PXD016196_B181202_07_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_07_Lumos_FO_CO_120_SMC56_BS3_SEC5_rep1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_11_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep2	Saccharomyces cerevisiae	not available	not available	2	PXD016196_B181202_11_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	6	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_11_Lumos_FO_CO_120_SMC56_BS3_SEC6_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD016196_B181202_09_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep2	Saccharomyces cerevisiae	not available	not available	2	PXD016196_B181202_09_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	7	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=BS3;AC=XLMOD:02000	not available	not available	1:600	2 hours	4 °C	B181202_09_Lumos_FO_CO_120_SMC56_BS3_SEC7_rep2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
