source name	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD053984_ACE_0366_AG04-C9	Homo sapiens	not available	purified proteins	not available	1	PXD053984_ACE_0366_AG04-C9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG04-C9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG04-C3	Homo sapiens	not available	purified proteins	not available	2	PXD053984_ACE_0366_AG04-C3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG04-C3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0403_AG01	Homo sapiens	not available	purified proteins	not available	3	PXD053984_ACE_0403_AG01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0403_AG01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG01-C11	Homo sapiens	not available	purified proteins	not available	4	PXD053984_ACE_0366_AG01-C11_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG01-C11.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG04-C7	Homo sapiens	not available	purified proteins	not available	5	PXD053984_ACE_0366_AG04-C7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG04-C7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG01-C3	Homo sapiens	not available	purified proteins	not available	6	PXD053984_ACE_0366_AG01-C3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG01-C3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG01-C4	Homo sapiens	not available	purified proteins	not available	7	PXD053984_ACE_0366_AG01-C4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG01-C4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0403_AG02	Homo sapiens	not available	purified proteins	not available	8	PXD053984_ACE_0403_AG02_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0403_AG02.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG04-C5	Homo sapiens	not available	purified proteins	not available	9	PXD053984_ACE_0366_AG04-C5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG04-C5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG04-C10	Homo sapiens	not available	purified proteins	not available	10	PXD053984_ACE_0366_AG04-C10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG04-C10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD053984_ACE_0366_AG01-C8	Homo sapiens	not available	purified proteins	not available	11	PXD053984_ACE_0366_AG01-C8_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=['DSSO'];AC=['XLMOD:02126'];TA=['K,S,T,Y']	not available	50 mM	3.3-fold excess	1 h	25 °C	ACE_0366_AG01-C8.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
