source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD063033_24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_1	Escherichia coli	not available	not available	1	PXD063033_24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Hetero_3	Escherichia coli	not available	not available	2	PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Hetero_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Hetero_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_methoxy_1	Escherichia coli	not available	not available	3	PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_methoxy_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_methoxy_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_1	Escherichia coli	not available	not available	4	PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_3	Escherichia coli	not available	not available	5	PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_2	Escherichia coli	not available	not available	6	PXD063033_24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl01_Anton_BS3_XL_TRAP_50cm_65min_BSA_hetero_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_SurAOmpX_Hetero_paper	Escherichia coli	not available	not available	7	PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_SurAOmpX_Hetero_paper_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_SurAOmpX_Hetero_paper.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_2	Escherichia coli	not available	not available	8	PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl_DDA_IT500_TRAP_50cm_100ng_95min_BSA_oNBA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Homo_2	Escherichia coli	not available	not available	9	PXD063033_25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Homo_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	25001_Ecl01_Adam_BS3_XL_TRAP_50cm_65min_BSA_Homo_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_Methoxy_2	Escherichia coli	not available	not available	10	PXD063033_24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_Methoxy_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=indazolone oNBA amide;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA amide;AC=null;TA=K;MT=Variable	NT=indazolone oNBA methoxy;AC=null;TA=K;MT=Variable	NT=secondary amide-oNBA methoxy;AC=null;TA=K;MT=Variable	not available	not available	NT=[{'NT': 'crosslinker 2 (2,5-dioxo-1-pyrrolidinyl-4-(hydroxymethyl)-3-nitrobenzoate)', 'AC': None, 'CL': None, 'TA': 'K'}, {'NT': 'crosslinker 3 (N,N′-1,2-ethanediylbis(4-hydroxymethyl-3-nitrobenzamide))', 'AC': None, 'CL': None, 'TA': 'K'}]	not available	2 mM	not available	30 min	room temperature	24224_Ecl_DDA_IT500_TRAP_50cm_100ng_65min_BSA_oNBA_Methoxy_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
