source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD055085_Sumo_Ab_1ug_LysC	Oryctolagus sp. 'rabbit_od'	not available	not available	1	PXD055085_Sumo_Ab_1ug_LysC_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_LysC.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_5	Oryctolagus sp. 'rabbit_od'	not available	not available	2	PXD055085_Sumo_Ab_1ug_Snijder_5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_NQTGG_DSS_221122_3	Oryctolagus sp. 'rabbit_od'	not available	not available	3	PXD055085_Sumo_Ab_NQTGG_DSS_221122_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_NQTGG_DSS_221122_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_10	Oryctolagus sp. 'rabbit_od'	not available	not available	4	PXD055085_Sumo_Ab_1ug_Snijder_10_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_10.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Chymotrypsin	Oryctolagus sp. 'rabbit_od'	not available	not available	5	PXD055085_Sumo_Ab_1ug_Chymotrypsin_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Chymotrypsin.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_NQTGG_DSS_221122_2	Oryctolagus sp. 'rabbit_od'	not available	not available	6	PXD055085_Sumo_Ab_NQTGG_DSS_221122_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_NQTGG_DSS_221122_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_6	Oryctolagus sp. 'rabbit_od'	not available	not available	7	PXD055085_Sumo_Ab_1ug_Snijder_6_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_6.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_AspN	Oryctolagus sp. 'rabbit_od'	not available	not available	8	PXD055085_Sumo_Ab_1ug_AspN_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_AspN.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_4	Oryctolagus sp. 'rabbit_od'	not available	not available	9	PXD055085_Sumo_Ab_1ug_Snijder_4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_1	Oryctolagus sp. 'rabbit_od'	not available	not available	10	PXD055085_Sumo_Ab_1ug_Snijder_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_DSSO_Chymotrypsin_inSolution_300123_1	Oryctolagus sp. 'rabbit_od'	not available	not available	11	PXD055085_Sumo_Ab_DSSO_Chymotrypsin_inSolution_300123_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_DSSO_Chymotrypsin_inSolution_300123_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_7	Oryctolagus sp. 'rabbit_od'	not available	not available	12	PXD055085_Sumo_Ab_1ug_Snijder_7_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_7.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Trypsin	Oryctolagus sp. 'rabbit_od'	not available	not available	13	PXD055085_Sumo_Ab_1ug_Trypsin_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Trypsin.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Snijder_9	Oryctolagus sp. 'rabbit_od'	not available	not available	14	PXD055085_Sumo_Ab_1ug_Snijder_9_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Snijder_9.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Elastase	Oryctolagus sp. 'rabbit_od'	not available	not available	15	PXD055085_Sumo_Ab_1ug_Elastase_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Elastase.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_1ug_Thermolysin	Oryctolagus sp. 'rabbit_od'	not available	not available	16	PXD055085_Sumo_Ab_1ug_Thermolysin_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_1ug_Thermolysin.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD055085_Sumo_Ab_NQTGG_DSS_221122_1	Oryctolagus sp. 'rabbit_od'	not available	not available	17	PXD055085_Sumo_Ab_NQTGG_DSS_221122_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Deamidation;AC=UNIMOD:null;TA=N;MT=Variable	NT=Pyro-glutamic acid;AC=UNIMOD:null;TA=Q;MT=Variable	not available	not available	NT=['DSS', 'DSSO', 'TBDSPP'];AC=['XLMOD:02001', 'XLMOD:02126', None];TA=['K,nterm', 'K,S,T,Y', None]	Titansphere Phos-TiO kit (GL Science) for TBDSPP-cross-linked peptides	2 mM	not available	1 h	room temperature	Sumo_Ab_NQTGG_DSS_221122_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
