source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD007250_B160815_11_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_010	Homo sapiens	not available	not available	1	PXD007250_B160815_11_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_010_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160815_11_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_010.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160815_09_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_008	Homo sapiens	not available	not available	2	PXD007250_B160815_09_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_008_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160815_09_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_008.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_10_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_009	Homo sapiens	not available	not available	3	PXD007250_B160801_10_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_009_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_10_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_009.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160815_03_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_002	Homo sapiens	not available	not available	4	PXD007250_B160815_03_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_002_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160815_03_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_002.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_06_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_005	Homo sapiens	not available	not available	5	PXD007250_B160801_06_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_005_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_06_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_005.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_04_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_003	Homo sapiens	not available	not available	6	PXD007250_B160801_04_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_003_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_04_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_003.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_05_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_004	Homo sapiens	not available	not available	7	PXD007250_B160801_05_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_004_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_05_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_004.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_11_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_010	Homo sapiens	not available	not available	8	PXD007250_B160801_11_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_010_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_11_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_010.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_02_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_001	Homo sapiens	not available	not available	9	PXD007250_B160801_02_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_001_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_02_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_001.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_03_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_002	Homo sapiens	not available	not available	10	PXD007250_B160801_03_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_002_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_03_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_002.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160815_06_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_005	Homo sapiens	not available	not available	11	PXD007250_B160815_06_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_005_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160815_06_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_005.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160815_04_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_003	Homo sapiens	not available	not available	12	PXD007250_B160815_04_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_003_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160815_04_Lumos_FM_IN_190_HSA_BS3_DDA_R_-DMSO_003.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_07_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_006	Homo sapiens	not available	not available	13	PXD007250_B160801_07_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_006_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_07_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_006.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD007250_B160801_09_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_008	Homo sapiens	not available	not available	14	PXD007250_B160801_09_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_008_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=BS3;AC=null;TA=K;MT=Variable	NT=BS3-OH;AC=null;TA=S;MT=Variable	NT=BS3-NH2;AC=null;TA=T;MT=Variable	NT=BS3-loop;AC=null;TA=Y;MT=Variable	not available	not available	NT=['BS3'];AC=['XLMOD:02001'];TA=['K,nterm']	not available	30 μg/μL	1:4	1.5 h	ice	B160801_09_Lumos_FM_IN_190_HSA_BS3_DDA_iRT_008.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
