source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD003737_E151023_11_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_1	Homo sapiens	whole blood serum	not available	1	PXD003737_E151023_11_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_11_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_04_Lumos_CS_AB_IN_190_CID_HSA_SDA_3	Homo sapiens	whole blood serum	not available	2	PXD003737_E151023_04_Lumos_CS_AB_IN_190_CID_HSA_SDA_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_04_Lumos_CS_AB_IN_190_CID_HSA_SDA_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_13_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_3	Homo sapiens	whole blood serum	not available	3	PXD003737_E151023_13_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_13_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_12_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_2	Homo sapiens	whole blood serum	not available	4	PXD003737_E151023_12_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_12_Lumos_CS_AB_IN_190_ETDCID_HSA_SDA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_10_Lumos_CS_AB_IN_190_ETD_HSA_SDA_3	Homo sapiens	whole blood serum	not available	5	PXD003737_E151023_10_Lumos_CS_AB_IN_190_ETD_HSA_SDA_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_10_Lumos_CS_AB_IN_190_ETD_HSA_SDA_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_09_Lumos_CS_AB_IN_190_ETD_HSA_SDA_2	Homo sapiens	whole blood serum	not available	6	PXD003737_E151023_09_Lumos_CS_AB_IN_190_ETD_HSA_SDA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_09_Lumos_CS_AB_IN_190_ETD_HSA_SDA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_05_Lumos_CS_AB_IN_190_HCD_HSA_SDA_1	Homo sapiens	whole blood serum	not available	7	PXD003737_E151023_05_Lumos_CS_AB_IN_190_HCD_HSA_SDA_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_05_Lumos_CS_AB_IN_190_HCD_HSA_SDA_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_03_Lumos_CS_AB_IN_190_CID_HSA_SDA_2	Homo sapiens	whole blood serum	not available	8	PXD003737_E151023_03_Lumos_CS_AB_IN_190_CID_HSA_SDA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_03_Lumos_CS_AB_IN_190_CID_HSA_SDA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_15_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_2	Homo sapiens	whole blood serum	not available	9	PXD003737_E151023_15_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_15_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD003737_E151023_14_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_1	Homo sapiens	whole blood serum	not available	10	PXD003737_E151023_14_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=SDA cross-linker;AC=null;TA=null;MT=Variable	NT=SDA-hyd;AC=null;TA=null;MT=Variable	NT=SDA-loop;AC=null;TA=null;MT=Variable	30%;35%;10%;25%	NT=CID;AC=MS:1002472	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	0.152:1, 0.203:1, 0.303:1, 0.406:1, 0.606:1, 0.811:1, 1.21:1, 1.62:1; 0.5:1, 1:1, 2:1, 4:1 (w/w)	25 min (purified HSA) / 50 min (purified HSA); 10, 20, 40, 60 min (blood serum)	not available	E151023_14_Lumos_CS_AB_IN_190_EThcD_HSA_SDA_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
