source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr4	Homo sapiens	nucleus	not available	1	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	4	4	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr3	Homo sapiens	nucleus	not available	1	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	3	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr2	Homo sapiens	nucleus	not available	1	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	2	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr5	Homo sapiens	nucleus	not available	1	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	5	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep1_fr5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr4	Homo sapiens	nucleus	not available	2	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr4_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	4	2	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep2_fr4.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr2	Homo sapiens	nucleus	not available	2	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	2	4	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr1	Homo sapiens	nucleus	not available	1	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	1	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr5	Homo sapiens	nucleus	not available	2	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	5	4	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr1	Homo sapiens	nucleus	not available	2	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	1	4	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep4_fr1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr5	Homo sapiens	nucleus	not available	3	PXD022608_Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMT10plex;AC=PRIDE:0000117	5	3	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=TMT10 (N-term);AC=null;TA=Protein N-terminus;MT=Variable	NT=TMT10 (K);AC=null;TA=K;MT=Fixed	NT=Acetyl;AC=null;TA=N-term;MT=Variable	NT=Succinylation;AC=null;TA=K;MT=Variable	not available	not available	not available	not available	not available	not available	not available	37 °C	Ernie_181214_P0808_MR_EK_IP_TMT10_rep3_fr5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
