source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD015883_7Sep18_Olson_WT20	Chlamydia trachomatis	inclusion membrane	not available	1	PXD015883_7Sep18_Olson_WT20_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	7Sep18_Olson_WT20.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_20190213_Rucks_atm5	Chlamydia trachomatis	inclusion membrane	not available	2	PXD015883_20190213_Rucks_atm5_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	20190213_Rucks_atm5.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_20190208_Rucks_F2	Chlamydia trachomatis	inclusion membrane	not available	1	PXD015883_20190208_Rucks_F2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	2	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	20190208_Rucks_F2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_14Sep18_Olson_S04	Chlamydia trachomatis serovar l2 (strain 434/bu / atcc vr-902b)	inclusion membrane	not available	3	PXD015883_14Sep18_Olson_S04_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	14Sep18_Olson_S04.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_18May18_Olson_AAPEX2	Chlamydia trachomatis	inclusion membrane	not available	4	PXD015883_18May18_Olson_AAPEX2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	18May18_Olson_AAPEX2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_7Sep18_Olson_F3	Chlamydia trachomatis	inclusion membrane	not available	1	PXD015883_7Sep18_Olson_F3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	3	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	7Sep18_Olson_F3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_20190214_Rucks_Ax14	Chlamydia trachomatis	inclusion membrane	not available	5	PXD015883_20190214_Rucks_Ax14_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	20190214_Rucks_Ax14.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_20Sep18_Olson_S42	Chlamydia trachomatis serovar l2 (strain 434/bu / atcc vr-902b)	inclusion membrane	not available	6	PXD015883_20Sep18_Olson_S42_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	20Sep18_Olson_S42.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_20Sep18_Olson_S41	Chlamydia trachomatis serovar l2 (strain 434/bu / atcc vr-902b)	inclusion membrane	not available	7	PXD015883_20Sep18_Olson_S41_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	20Sep18_Olson_S41.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD015883_7Sep18_Olson_WT24	Chlamydia trachomatis	inclusion membrane	not available	8	PXD015883_7Sep18_Olson_WT24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=biotin-phenol;AC=null;TA=Y,W,H,C;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	7Sep18_Olson_WT24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
