source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_23	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	1	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_23_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_23.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_14	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	2	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_14_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_14.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_32	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	3	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_32_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_32.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_01	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	4	PXD003643_Belsom_Rappsilber_CASP11_Target2_Tx808_01_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target2_Tx808_01.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_06	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	5	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_06_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_06.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_18	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	6	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_18_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_18.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_12	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	7	PXD003643_Belsom_Rappsilber_CASP11_Target4_Tx812_12_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target4_Tx812_12.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_36	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	8	PXD003643_Belsom_Rappsilber_CASP11_Target3_Tx767_36_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target3_Tx767_36.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_15	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	9	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_15_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_15.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_24	NT=Ruminococcus gnavus;AC=NCBITaxon:33038	NT=Homo sapiens (human);AC=NCBITaxon:9606	NT=Bacteroides caccae;AC=NCBITaxon:47678	NT=Staphylococcus aureus;AC=NCBITaxon:1280	not available	not available	10	PXD003643_Belsom_Rappsilber_CASP11_Target1_Tx781_24_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=sulfo-SDA;AC=XLMOD:02136	not available	not available	2:1, 1:1, 0.5:1, 0.25:1 (w/w)	1 h (dark reaction) and 15/30/45/60 min (UV photoactivation)	room temperature	Belsom_Rappsilber_CASP11_Target1_Tx781_24.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0
