source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD040262_KS_18plex_Fr6_14250	Homo sapiens	cell	B cell	1	PXD040262_KS_18plex_Fr6_14250_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	6	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_18plex_Fr6_14250.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_16plex_phospho_rerun_11725	Homo sapiens	cell	B cell	1	PXD040262_KS_16plex_phospho_rerun_11725_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_16plex_phospho_rerun_11725.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_16plex_Fr2_11714	Homo sapiens	cell	B cell	1	PXD040262_KS_16plex_Fr2_11714_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	2	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_16plex_Fr2_11714.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_16plex_Fr5_11717	Homo sapiens	cell	B cell	1	PXD040262_KS_16plex_Fr5_11717_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	5	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_16plex_Fr5_11717.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_18plex_Fr5_14249	Homo sapiens	cell	B cell	2	PXD040262_KS_18plex_Fr5_14249_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	5	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_18plex_Fr5_14249.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_18plex_Fr4_14248	Homo sapiens	cell	B cell	1	PXD040262_KS_18plex_Fr4_14248_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	4	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_18plex_Fr4_14248.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_16plex_Fr6_11718	Homo sapiens	cell	B cell	2	PXD040262_KS_16plex_Fr6_11718_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	6	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_16plex_Fr6_11718.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_18plex_Fr4_rerun_14255	Homo sapiens	cell	B cell	2	PXD040262_KS_18plex_Fr4_rerun_14255_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	4	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_18plex_Fr4_rerun_14255.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_18plex_phospho_rerun_14243	Homo sapiens	cell	B cell	2	PXD040262_KS_18plex_phospho_rerun_14243_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	1	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_18plex_phospho_rerun_14243.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
PXD040262_KS_16plex_Fr3_11715	Homo sapiens	cell	B cell	1	PXD040262_KS_16plex_Fr3_11715_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=TMTpro 16plex;AC=PRIDE:0000120	3	1	not available	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=TMTpro (+304.207 Da) N-terminus modification;AC=null;TA=Protein N-terminus;MT=Variable	NT=Static TMT lysine modification;AC=null;TA=K;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	not available	not available	not available	not available	not available	not available	KS_16plex_Fr3_11715.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=human;VV=v1.1.0
