source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD030864_P149406	Mus musculus	corticostriatal axons	corticostriatal projection neurons	1	PXD030864_P149406_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149406.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149182	Mus musculus	corticostriatal axons	corticostriatal projection neurons	2	PXD030864_P149182_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149182.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149413	Mus musculus	corticostriatal axons	corticostriatal projection neurons	3	PXD030864_P149413_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149413.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149409	Mus musculus	corticostriatal axons	corticostriatal projection neurons	4	PXD030864_P149409_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149409.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149176	Mus musculus	corticostriatal axons	corticostriatal projection neurons	5	PXD030864_P149176_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149176.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149111	Mus musculus	corticostriatal axons	corticostriatal projection neurons	6	PXD030864_P149111_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149111.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149121	Mus musculus	corticostriatal axons	corticostriatal projection neurons	7	PXD030864_P149121_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149121.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149405	Mus musculus	corticostriatal axons	corticostriatal projection neurons	8	PXD030864_P149405_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149405.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149416	Mus musculus	corticostriatal axons	corticostriatal projection neurons	9	PXD030864_P149416_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149416.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD030864_P149417	Mus musculus	corticostriatal axons	corticostriatal projection neurons	10	PXD030864_P149417_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=NT=TMT;AC=PRIDE:0000116	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=S;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=T;MT=Variable	NT=Phosphorylation;AC=UNIMOD:21;TA=Y;MT=Variable	NT=TMTpro16 (N-term);AC=null;TA=Protein N-terminus;MT=Fixed	NT=TMTpro16 (K);AC=null;TA=K;MT=Fixed	not available	not available	not available	streptavidin magnetic beads (biotinylated protein enrichment)	not available	not available	not available	not available	P149417.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
